"source","target","weight"
"2d-animation","motion-graphics",55
"2d-animation","photo-editing",2
"2d-animation","photography",1
"2d-animation","presentation-design",2
"2d-animation","print-design",1
"2d-animation","print-layout-design",2
"2d-animation","scripting",2
"2d-animation","sound-design",1
"2d-animation","storyboarding",3
"2d-animation","technical-documentation",1
"2d-animation","technical-writing",1
"2d-animation","typography",2
"2d-animation","unity-3d",3
"2d-animation","user-experience-design",1
"2d-animation","very-small-1-9-employees",1
"2d-animation","video-editing",27
"2d-animation","video-postediting",9
"2d-animation","video-production",29
"2d-animation","videography",3
"2d-animation","voice-over",1
"2d-animation","web-design",4
"2d-animation","website-development",2
"2d-animation","wordpress",1
"2d-animation","youtube-api",1
"2d-design","3d-animation",10
"2d-design","3d-design",30
"2d-design","3d-modeling",21
"2d-design","3d-rendering",14
"2d-design","3ds-max",2
"2d-design","adobe-creative-suite",1
"2d-design","adobe-flash",4
"2d-design","adobe-illustrator",20
"2d-design","adobe-indesign",1
"2d-design","adobe-photoshop",21
"2d-design","android-app-development",2
"2d-design","animation",4
"2d-design","architectural-design",4
"2d-design","architectural-rendering",8
"2d-design","audio-mixing",1
"2d-design","autocad",14
"2d-design","banner-design",3
"2d-design","branding",1
"2d-design","business-card-design",1
"2d-design","cad-design",9
"2d-design","caricature-drawing",1
"2d-design","cartooning",2
"2d-design","character-design",8
"2d-design","computer-skills",1
"2d-design","concept-design",2
"2d-design","construction",3
"2d-design","corel-draw",1
"2d-design","creative-and-talent",3
"2d-design","design-thinking",3
"2d-design","digital-painting",1
"2d-design","drafting",10
"2d-design","drawing",2
"2d-design","email-handling",1
"2d-design","engineering-drawing",4
"2d-design","fashion-designing",2
"2d-design","game-design",8
"2d-design","game-development",6
"2d-design","google-sketchup",6
"2d-design","graphic-design",25
"2d-design","illustration",18
"2d-design","industrial-design",1
"2d-design","infographics",3
"2d-design","interior-design",7
"2d-design","ios-development",3
"2d-design","iphone-app-development",1
"2d-design","keynote",2
"2d-design","label-and-package-design",1
"2d-design","logo-design",8
"2d-design","manufacturing",1
"2d-design","marketing-strategy",1
"2d-design","mechanical-design",1
"2d-design","microcontroller-programming",1
"2d-design","microsoft-powerpoint",4
"2d-design","mobile-app-development",3
"2d-design","mobile-ui-design",1
"2d-design","motion-graphics",5
"2d-design","photo-editing",3
"2d-design","photo-retouching",1
"2d-design","photography",1
"2d-design","presentation-design",4
"2d-design","print-design",5
"2d-design","print-layout-design",2
"2d-design","product-design",2
"2d-design","product-development",1
"2d-design","sketching",3
"2d-design","social-media-marketing",1
"2d-design","solidworks",4
"2d-design","sourcing",1
"2d-design","technical-documentation",1
"2d-design","ui-design",1
"2d-design","unity-3d",1
"2d-design","user-experience-design",1
"2d-design","video-editing",2
"2d-design","writing",1
"3d-animation","3d-design",31
"3d-animation","3d-modeling",49
"3d-animation","3d-printing",3
"3d-animation","3d-rendering",25
"3d-animation","3ds-max",10
"3d-animation","adobe-after-effects",34
"3d-animation","adobe-illustrator",9
"3d-animation","adobe-indesign",1
"3d-animation","adobe-photoshop",18
"3d-animation","adobe-premiere",2
"3d-animation","adobe-premiere-pro",5
"3d-animation","amazon-web-services",1
"3d-animation","android",3
"3d-animation","android-app-development",2
"3d-animation","animation",29
"3d-animation","architectural-design",2
"3d-animation","architectural-rendering",3
"3d-animation","art-direction",2
"3d-animation","audio-editing",1
"3d-animation","autocad",3
"3d-animation","autodesk-maya",13
"3d-animation","blender3d",5
"3d-animation","c",1
"3d-animation","c#",2
"3d-animation","c++",1
"3d-animation","cad-design",1
"3d-animation","cartooning",1
"3d-animation","character",4
"3d-animation","character-design",3
"3d-animation","chinese",1
"3d-animation","concept-design",1
"3d-animation","corel-draw",1
"3d-animation","drafting",1
"3d-animation","drawing",1
"3d-animation","education",1
"3d-animation","final-cut-pro",2
"3d-animation","final-cut-pro-x",1
"3d-animation","game-design",1
"3d-animation","game-development",4
"3d-animation","game-programming",2
"3d-animation","google-sketchup",1
"3d-animation","graphic-design",18
"3d-animation","html5",2
"3d-animation","illustration",13
"3d-animation","ios",1
"3d-animation","ios-development",2
"3d-animation","java",1
"3d-animation","javascript",1
"3d-animation","logo-design",3
"3d-animation","management-skills",2
"3d-animation","manufacturing",2
"3d-animation","maxon-cinema-4d",2
"3d-animation","mechanical-design",1
"3d-animation","mongodb",1
"3d-animation","motion-graphics",34
"3d-animation","mysql",1
"3d-animation","photo-editing",1
"3d-animation","php",1
"3d-animation","product-design",3
"3d-animation","product-development",1
"3d-animation","prototype",1
"3d-animation","python",1
"3d-animation","react-native",1
"3d-animation","selling",1
"3d-animation","solidworks",2
"3d-animation","typescript",1
"3d-animation","unity-3d",8
"3d-animation","unity3d",2
"3d-animation","video-editing",21
"3d-animation","video-postediting",4
"3d-animation","video-production",22
"3d-animation","video-sales-letter",1
"3d-animation","videography",3
"3d-animation","visualization",2
"3d-animation","web-design",2
"3d-animation","youtube-api",1
"3d-design","3d-modeling",185
"3d-design","3d-printing",17
"3d-design","3d-rendering",102
"3d-design","3ds-max",28
"3d-design","adobe-after-effects",5
"3d-design","adobe-creative-suite",1
"3d-design","adobe-illustrator",18
"3d-design","adobe-indesign",3
"3d-design","adobe-lightroom",1
"3d-design","adobe-photoshop",31
"3d-design","adobe-premiere-pro",1
"3d-design","amazon-web-services",1
"3d-design","android",1
"3d-design","animation",3
"3d-design","architectural-design",30
"3d-design","architectural-rendering",33
"3d-design","art-direction",1
"3d-design","audio-design",1
"3d-design","audio-editing",1
"3d-design","autocad",68
"3d-design","autodesk-autocad-civil3d",4
"3d-design","autodesk-maya",9
"3d-design","autodesk-revit",5
"3d-design","banner-design",2
"3d-design","blender3d",10
"3d-design","book-cover-design",2
"3d-design","book-design",2
"3d-design","brand-consulting",1
"3d-design","brand-marketing",1
"3d-design","c",1
"3d-design","c#",3
"3d-design","c++",1
"3d-design","cad-design",55
"3d-design","character",2
"3d-design","civil-engineering",2
"3d-design","concept-design",7
"3d-design","construction",3
"3d-design","contract-drafting",1
"3d-design","creative-and-talent",3
"3d-design","css3",1
"3d-design","design-pattern",3
"3d-design","design-thinking",2
"3d-design","digital-painting",1
"3d-design","drafting",10
"3d-design","drawing",3
"3d-design","electrical-engineering",5
"3d-design","electronic-design",3
"3d-design","electronics",1
"3d-design","embedded-systems",1
"3d-design","engineering-design",9
"3d-design","engineering-drawing",17
"3d-design","fashion",4
"3d-design","fashion-designing",8
"3d-design","final-cut-pro",1
"3d-design","frontend-development",1
"3d-design","game-design",2
"3d-design","game-development",2
"3d-design","game-programming",1
"3d-design","google-sketchup",28
"3d-design","graphic-design",45
"3d-design","html5",1
"3d-design","illustration",18
"3d-design","image-editing",1
"3d-design","industrial-design",27
"3d-design","infographics",1
"3d-design","intellectual-property-law",1
"3d-design","interior-design",17
"3d-design","ios",2
"3d-design","java",1
"3d-design","javascript",2
"3d-design","jquery",1
"3d-design","logo-design",7
"3d-design","manufacturing",5
"3d-design","manufacturing-design",11
"3d-design","marketing-strategy",1
"3d-design","mathematics",1
"3d-design","maxon-cinema-4d",1
"3d-design","mechanical-design",17
"3d-design","mechanical-engineering",25
"3d-design","microcontroller-programming",1
"3d-design","microsoft-office",1
"3d-design","microsoft-project",1
"3d-design","mobile-ui-design",1
"3d-design","mongodb",1
"3d-design","motion-graphics",7
"3d-design","mysql",1
"3d-design","packaging-design",2
"3d-design","patent-law",1
"3d-design","pcb-design",3
"3d-design","photo-editing",3
"3d-design","photo-retouching",1
"3d-design","php",1
"3d-design","presentation-design",2
"3d-design","print-design",5
"3d-design","print-layout-design",3
"3d-design","product-design",45
"3d-design","product-development",20
"3d-design","project-planning",1
"3d-design","prototype",1
"3d-design","python",1
"3d-design","react-native",1
"3d-design","retail-and-consumer-goods",1
"3d-design","scripting",1
"3d-design","sketching",9
"3d-design","social-media-marketing",1
"3d-design","solidworks",45
"3d-design","sourcing",1
"3d-design","storyboarding",1
"3d-design","typescript",1
"3d-design","ui-design",4
"3d-design","unity-3d",5
"3d-design","unity3d",1
"3d-design","user-experience-design",1
"3d-design","video-editing",5
"3d-design","video-postediting",1
"3d-design","video-production",3
"3d-design","video-sales-letter",1
"3d-design","videography",2
"3d-design","visualization",2
"3d-design","web-design",1
"3d-design","writing",1
"3d-modeling","3d-printing",34
"3d-modeling","3d-rendering",136
"3d-modeling","3ds-max",33
"3d-modeling","adobe-after-effects",12
"3d-modeling","adobe-illustrator",17
"3d-modeling","adobe-indesign",3
