"","n_worker","n_projects","coef","price","premium","price_level","se","gini","n_skills","n_clusters","skill","ngbr_price","ngbr_share","ngbr_share_acc","ngbr_name","ngbr_price_res","degree","between","closeness","eigenvector","pagerank","cluster","cluster_name","degree_weighted","pagerank_weighted","ai_skills"
"1",1412,1577,-0.138510457372237,0.870654146467011,-50.5382714986154,17.2089934002382,0.0177908596817773,0.834329907137128,470,7,"administrative-support",0.781891021907757,0.4107027724049,0.446163765312701,"data-entry, email-handling, virtual-assistant",-0.00197549067018589,46,999.88185665892,0.0002211900022119,0.0370569975222985,0.0060140225511451,7,"Admin + Mgmt",2.9935803340192,0.000805796455493498,0
"2",28,30,-0.0465873916540742,0.954481143239144,-15.9558079379794,28.746604516129,0.117771990707379,0.397981627636175,59,6,"adobe-flash",0.966899595296879,0.217391304347826,0.347826086956522,"adobe-illustrator, adobe-photoshop, web-design",0.0263621833992322,25,5296.25271568237,0.000253678335870117,4.88902316979671e-06,0.000274547879610266,3,"Design",3.11232973237597,0.000764900244719111,0
"3",1418,1941,0.00612744006707606,1.00614625122976,-3.58542929484837,33.0225540726285,0.0163470237734478,0.85728294847622,419,7,"adobe-illustrator",0.98634925168038,0.311275807305453,0.698253043938592,"adobe-photoshop, graphic-design, illustration",0.00346871350886272,57,8.09840452580727,0.000188643652141105,0.00063992320376922,0.00643368378186968,3,"Design",3.98786059253402,0.000618026648355862,0
"4",632,822,0.049866585877895,1.05113085132115,-2.51128699449197,33.3563905092593,0.0233506410743599,0.8412431028699,319,7,"adobe-indesign",0.98497197712647,0.645408163265306,0.647959183673469,"adobe-illustrator, adobe-photoshop, graphic-design",-0.000979943654982817,37,0,0.000148214021046391,0.000432262497871312,0.00412843988403429,3,"Design",3.55665295565857,0.000771249565964248,0
"5",1915,2640,-0.0739478962504495,0.928720082379239,-8.25961654848467,31.5192083011653,0.0141989225240284,0.840981680556322,493,7,"adobe-photoshop",1.02223475129593,0.226347305389222,0.533333333333333,"adobe-illustrator, graphic-design, print-design",0.0535815457928614,67,0,0.000169405387091309,0.00105725396847271,0.00982535282835073,3,"Design",4.29818291405894,0.00200214881684038,0
"6",648,915,0.307978541635306,1.36067179083236,34.043353120439,45.5501123481481,0.0222760450279732,0.624111877187448,234,7,"advertising",1.3060921114582,0.207373271889401,0.221198156682028,"copywriting, marketing-strategy, ppc-advertising",0.225004440628832,31,108.957545621733,0.000218722659667542,0.000467908352641068,0.000654181605999966,4,"Marketing",4.48510359862644,0.00246207399439778,0
"7",90,92,0.0343268583064491,1.0349228245722,-2.08096150862851,33.4903567741936,0.0681324191026803,0.542353697255714,177,7,"affiliate-marketing",1.06256745491552,0.325842696629214,0.337078651685393,"internet-marketing, marketing-strategy, social-media-marketing",0.075391643483753,14,333.648334928962,0.000232396002788752,0.000728213379037602,0.000295941288713991,4,"Marketing",2.80417643010542,0.000447567105283578,0
"8",35,35,0.260463210160279,1.2975309770176,13.8398226725579,38.9301991666667,0.10927650787416,0.350162162162162,74,6,"agile-software-development",1.4278550678799,0.142857142857143,0.371428571428571,"atlassian-jira, project-management, scrum",0.394720303504652,32,9650.68971349363,0.000277315585135885,1.02473888736189e-05,0.000420025206754173,7,"Admin + Mgmt",4.9485685727459,0.00154017118444314,0
"9",51,59,0.140864998092627,1.15126921395325,29.469810378712,44.2642349152542,0.0856617604130064,0.637057100215577,79,5,"ajax",1.03131667356471,0.559322033898305,0.677966101694915,"javascript, jquery, php",-0.0410269922295992,38,416.014020213279,0.00023094688221709,8.44929961675643e-05,0.000749092567607558,1,"Software + Tech",3.75150325805406,0.000580971933702925,0
"10",97,125,0.0501567449359217,1.05143589071166,56.5867004870299,53.4768103149606,0.0593487846935899,0.611070263315105,94,5,"amazon-ec2",1.11733333035133,0.327586206896552,0.344827586206897,"amazon-s3, amazon-web-services, linux-system-administration",-0.0127430542588533,52,1036.71233898357,0.000251572327044025,4.49679743744676e-06,0.00127869061665216,1,"Software + Tech",4.41485630311235,0.000368357166195609,0
"11",202,255,0.147292789630509,1.15869316671393,55.2462786898212,52.9447282490272,0.0415264641913108,0.597000835421888,228,7,"amazon-web-services",1.08158090501724,0.157676348547718,0.186721991701245,"amazon-ec2, amazon-s3, linux-system-administration",-0.0454421086193748,72,1481.93053065049,0.00024919013207077,8.99817054961251e-06,0.00205679456717571,1,"Software + Tech",4.62556041146195,0.000630021073931663,0
"12",191,218,0.0790675865325335,1.08227746697971,33.3035276471511,45.5233571666667,0.0445776548009783,0.65276821110958,119,6,"android",1.12119889573071,0.371428571428571,0.371428571428571,"android-app-development, ios-development, mobile-app-development",0.0402906333529987,38,679.730926428096,0.000252143217347453,4.42984963735387e-07,0.00125388730222741,1,"Software + Tech",4.07845758541052,0.000337387797327161,0
"13",135,154,0.077712863129751,1.08081227305723,24.7386857251568,42.6283935350318,0.0528247501300361,0.717614469610559,114,7,"android-app-development",1.15936960626384,0.506849315068493,0.527397260273973,"ios-development, iphone-app-development, mobile-app-development",0.0985243146331822,40,1300.34860264376,0.000256871307474955,6.97990482351615e-06,0.00144554324717191,1,"Software + Tech",4.27677472027084,0.000292723889896728,0
"14",162,176,0.118386276715324,1.1256788509261,37.0580105312304,46.8112506557377,0.0490410864863728,0.735761194029851,125,5,"angularjs",0.994722555932348,0.467836257309941,0.526315789473684,"css, html5, javascript",-0.0947043504859332,44,313.541382753611,0.000236350744504845,0.000261792626223758,0.00162791852716863,1,"Software + Tech",3.76421878478387,0.00214156122282714,0
